Estonian,English
kindlasti,surely
tuli,fire
natuke,bit
armastan,I love
neil,they
kõike,everything
ehk,perhaps
tegi,did
kätte,receipt
üldse,ever
tulla,come
selline,that
mõned,some
ajal,during
millest,which
kedagi,someone
ärge,Do not
asju,things
hakkama,begin
keda,who
tulen,I come
tüdruk,girl
päev,day
sellele,to this
kust,whence
söör,sir
teine,second
endale,new
asjad,things
võtta,take
tundub,feels
kuna,because
okei,okay
vana,old
selleks,"To this end,"
juures,at
mingit,any
tunne,feeling
viis,way
tunnen,I feel
tegin,did
nägin,I saw
võiks,should
tahtsin,wanted
lõpeta,stop
no,no
ilmselt,apparently
kuula,listen
pidanud,have
kullake,sweetheart
auto,car
raske,difficult
abi,help
mõtlesin,thought
sel,this
räägid,talk
tööd,jobs
homme,tomorrow
elus,alive
selge,clear
sellepärast,because
näen,see
saaks,could
alles,only
aitab,help
sinust,of you
milline,what
hoia,hold
poole,to
teate,know
järele,for
räägin,speak
varem,previously
osa,part
uuesti,again
peaksid,should
suurepärane,great
teab,knows
läinud,past
millal,when
järgi,according to
aasta,year
ees,in front of
taga,behind
võimalik,available
lähed,go
peal,on
seega,thus
tulge,come
vahel,between
jää,ice
tappa,kill
neist,them
mõtlen,I think
maja,house
esimene,first
õhtul,evening
minust,of me
poolt,by
rääkima,speak
parim,best
väljas,outdoors
koht,place
teist,another
paar,couple
ainus,only
sellist,such a
uus,new
vähemalt,at least
surma,death
kell,clock
käia,go
samuti,as well as
poeg,son
kiiresti,fast
võtan,take
eemale,away
sellel,this
täiesti,completely
ilus,beautiful
andeks,forgiveness
ah,oh
tõsi,true
ümber,around
maailma,world
loodan,I hope
tõsiselt,seriously
inimesi,people
leida,find
oleksin,would be
piisavalt,enough
pool,half
olemas,available for
võime,capability
sir,sir
lapsed,children
kelle,whose
jääb,stays
peaaegu,almost
tahtnud,wanted
panna,put
mehed,men
üksi,alone
iganes,ever
jack,Jack
vaadake,look
vajan,need
issand,lord
tohi,must
saama,receive
temast,about him
veidi,slightly
eile,yesterday
peaksin,I should
lugu,story
lähe,going
võimalus,opportunity
näeme,see you
lõpuks,finally
oleksid,Would be
kõiki,all
sõbrad,friends
tehtud,done
võibolla,may be
poisid,boys
anda,give
tahaks,want
laps,baby
heaks,for
vait,silent
proua,Mrs.
sealt,thence
viimane,last
öelnud,said
vabandage,Excuse me
vend,brother
jääda,stay
muretse,worry
probleem,problem
kuulnud,heard
inimene,human
sees,on
hommikul,in the morning
meeldi,like
ütleb,says
paistab,looks
täis,full
nalja,joke
käes,in
muud,other
usun,I believe
ringi,round
tunned,feel
jama,nonsense
kodus,home
kuulsin,heard
